phenotype,neighbour_phenotype,INT Donor B,pvalue_INT Donor B,INT Donor E,pvalue_INT Donor E
B-cells,B-cells,1.0,0.0,1.0,0.0
B-cells,Cytotoxic T-cells,-0.4233024946307616,0.0008619310529518097,-0.11612179077334016,4.39111722196153e-06
B-cells,DZ B-cells,-0.25367586320832647,3.9133806741536453e-50,0.12953412045522356,0.0
B-cells,Exhausted T-cells,-0.0066082934082273255,7.836961530250829e-07,-0.006287029538382848,2.0104330016535411e-289
B-cells,Helper T-cells,-0.26354700148686605,6.74713129928327e-05,-0.026909907221914386,0.0
B-cells,LZ B-cells,-0.44994217743267806,3.474786991925539e-45,-0.04627537899776935,0.0
B-cells,Other,-0.07331075499752189,0.0,-0.01747581092025063,0.0
B-cells,Stroma,0.8499504377994384,6.009448964790192e-09,-0.25052214313115384,0.0
B-cells,TFH,0.7949776970097473,3.960267774000835e-202,-0.21562024920790535,0.0
B-cells,Treg,0.17896084586155625,6.602116332923222e-42,-0.0699671795746132,0.0
B-cells,myeloid-derived cells,-0.11762762266644639,0.0,-0.01780969836466192,0.0
Cytotoxic T-cells,B-cells,-0.2523514059191412,0.0013335400892129795,-0.40162162162162157,3.5828127736500714e-06
Cytotoxic T-cells,Cytotoxic T-cells,1.0,0.0,1.0,0.0
Cytotoxic T-cells,DZ B-cells,-0.08994435416358891,0.0,-0.13744471744471742,1.7466492203986824e-124
Cytotoxic T-cells,Exhausted T-cells,0.0151179396267297,2.3099387438028826e-88,0.09513513513513513,0.0
Cytotoxic T-cells,Helper T-cells,0.4763382084995322,0.0,0.30847665847665845,0.0
Cytotoxic T-cells,LZ B-cells,-0.07819963559363766,0.0,-0.022555282555282552,0.0
Cytotoxic T-cells,Other,-0.041734377308317326,0.0,-0.08363636363636363,0.0
Cytotoxic T-cells,Stroma,-0.41645737922883735,0.0,-0.42294840294840297,0.0
Cytotoxic T-cells,TFH,0.6612251932831043,0.0,0.6423095823095822,0.00929663719449347
Cytotoxic T-cells,Treg,0.18929433200374254,0.0,0.3218918918918919,0.0
Cytotoxic T-cells,myeloid-derived cells,-0.09740483577091644,0.0,-0.07181818181818182,0.0
DZ B-cells,B-cells,-0.21348627042057702,8.129457547481514e-56,0.3897819581017529,1.3768526398842847e-283
