phenotype,neighbour_phenotype,LN Donor A,pvalue_LN Donor A,LN Donor E,pvalue_LN Donor E
B-cells,B-cells,1.0,0.0,1.0,0.0
B-cells,Cytotoxic T-cells,-0.48801144894894893,9.824915713731954e-218,-0.48126592057460227,0.0
B-cells,DZ B-cells,0.05494557057057057,0.4101314624306147,-0.046983964588466195,0.0
B-cells,FDC,-0.02583051801801802,1.2329713883004913e-08,-0.006952854219735249,0.0
B-cells,Helper T-cells,-0.2541525900900901,0.0,-0.28957698250302755,0.0
B-cells,LZ B-cells,-0.5873216966966968,3.32792478497462e-64,-0.36631415208585627,0.0
B-cells,Other,0.01829954954954955,1.6944124569732811e-16,0.011744686181985218,3.5349275591649413e-68
B-cells,Stroma,-0.9061092342342343,2.837079818504603e-79,0.47248611517100264,0.0
B-cells,TFH,0.3302834084084084,3.0334532784673842e-31,0.18142669227878233,6.904527996694193e-15
B-cells,Treg,-0.0719313063063063,1.1829396042961041e-61,-0.06879254186328142,1.6575141851784113e-23
B-cells,myeloid-derived cells,-0.14864864864864866,3.09518193273021e-12,-0.051885413621748026,0.0001001580144988421
Cytotoxic T-cells,B-cells,-0.36394653042656677,4.873776923609621e-217,-0.34812043134175075,0.0
Cytotoxic T-cells,Cytotoxic T-cells,1.0,0.0,1.0,0.0
Cytotoxic T-cells,DZ B-cells,-0.038614970080834234,1.188384632708209e-46,-0.017549688878148978,0.0
Cytotoxic T-cells,FDC,-0.01462714770619729,1.0382725201638959e-92,-0.0018765480577538816,0.0
Cytotoxic T-cells,Helper T-cells,0.7494488574727928,0.0,0.8387943273122697,0.0
Cytotoxic T-cells,LZ B-cells,-0.1478286734086853,0.0,-0.052343230834289864,0.0
Cytotoxic T-cells,Other,-0.010043041606886656,5.94039639682601e-10,0.010877937533981755,1.4010097892548266e-64
Cytotoxic T-cells,Stroma,-0.8052979668964552,1.8028853830444004e-259,0.4358122394732073,7.329632393432238e-246
Cytotoxic T-cells,TFH,-0.25088357770234804,3.7972257627146065e-49,-0.09499410982903402,0.0
Cytotoxic T-cells,Treg,0.09554886797074569,1.1273566122399518e-11,-0.0675179725729475,7.629504047202084e-32
Cytotoxic T-cells,myeloid-derived cells,-0.13780312838996395,1.3708239303848695e-17,0.05909049719084154,6.85168875101719e-55
DZ B-cells,B-cells,0.39600946905647616,0.4196859472491761,-0.11981842868933203,0.0
DZ B-cells,Cytotoxic T-cells,-0.3731822793371661,3.428844907539715e-43,-0.06187268709565773,0.0
DZ B-cells,DZ B-cells,0.2932025701724721,0.0,1.0,0.0
DZ B-cells,FDC,0.05816706121068651,2.3232414050673723e-63,0.17773754692367083,0.0
DZ B-cells,Helper T-cells,-0.21017923571187014,7.568935402341719e-187,-0.04352919251351135,0.0
DZ B-cells,LZ B-cells,-0.42898207642881303,8.458218183465568e-31,-0.36969196773248847,7.014725465818917e-09
DZ B-cells,Other,-0.010821778829895165,0.8045145454161116,-0.0011314927717579403,1.3751726153540894e-69
DZ B-cells,Stroma,1.0,5.142978927472897e-80,-0.07746066398658183,0.0
DZ B-cells,TFH,0.24974636455867433,0.9934451683463018,0.2550384707542398,0.0
DZ B-cells,Treg,-0.07575245180926615,0.5829803672161968,-0.015587976890924095,0.0
DZ B-cells,myeloid-derived cells,-0.10771051741630032,2.076392304105609e-08,-0.017917520832778682,1.6336244377964398e-192
FDC,B-cells,-0.30180921052631576,5.061512663726166e-08,-0.09976033553025764,0.0
FDC,Cytotoxic T-cells,-0.22916666666666669,1.5920039603450375e-99,-0.03722288795686039,0.0
FDC,DZ B-cells,0.09429824561403509,9.782717622857325e-64,1.0,0.0
FDC,FDC,0.28015350877192985,0.0,0.494008388256441,0.0
FDC,Helper T-cells,-0.10197368421052631,1.0122985383467797e-198,-0.015877771120431396,0.0
FDC,LZ B-cells,0.4849232456140351,0.48612152365180583,0.7271569802276813,6.0394501031319305e-267
FDC,Other,0.013432017543859651,0.04356419970933829,-0.0007489514679448772,1.653977889543282e-20
FDC,Stroma,1.0,1.5805665663489517e-110,-0.07167465548232474,0.0
FDC,TFH,0.24205043859649125,0.02271573358504764,0.5079388855602157,0.0
FDC,Treg,-0.03234649122807018,5.031432061064476e-18,-0.006665668064709407,1.1172442835541907e-199
FDC,myeloid-derived cells,-0.10855263157894737,0.03855775280939869,-0.025838825644098264,3.5087792410123237e-48
