phenotype,neighbour_phenotype,TS Donor A,pvalue_TS Donor A,TS Donor E,pvalue_TS Donor E
B-cells,B-cells,1.0,0.0,1.0,0.0
B-cells,Cytotoxic T-cells,-0.08793570762415481,0.0,-0.04092097438371689,0.0
B-cells,DZ B-cells,-0.2596394847283749,4.255926428411163e-301,-0.041061229985525624,0.0
B-cells,FDC,-0.012823501981813944,0.0,-0.013778710321690249,0.0
B-cells,Helper T-cells,-0.10030747260433667,0.0,-0.08021498378645243,0.0
B-cells,LZ B-cells,-0.18248717649801818,0.0,-0.31315709749447396,1.7173415567644528e-262
B-cells,Other,0.07665685474469573,0.0,0.0101993873635313,0.0
B-cells,Stroma,0.5178946141291676,0.0,-0.28905557487966066,1.2153910302245072e-272
B-cells,TFH,-0.12707653299137328,0.0,-0.14584899520886863,0.0
B-cells,Treg,-0.17547796689204942,0.0,-0.013767489873545551,0.25682380894614154
B-cells,myeloid-derived cells,0.10843873863371414,0.0,0.135531793139818,0.0
Cytotoxic T-cells,B-cells,-0.18393940317615143,0.0,-0.0747780443296221,0.0
Cytotoxic T-cells,Cytotoxic T-cells,0.9597037217666962,0.0,1.0,0.0
Cytotoxic T-cells,DZ B-cells,-0.07216447709330326,0.0,-0.020821799840068895,0.0
Cytotoxic T-cells,FDC,-0.006096259944524034,0.0,-0.017008058067294086,0.0
Cytotoxic T-cells,Helper T-cells,1.0,0.0,0.7471755756494637,0.0
Cytotoxic T-cells,LZ B-cells,-0.04194226841832536,0.0,-0.03454921982325562,0.0
Cytotoxic T-cells,Other,-0.007879415978297315,2.4115822730063766e-294,-0.0008406635090525106,2.962043742229272e-35
Cytotoxic T-cells,Stroma,-0.39026732099856737,2.0170882057728712e-238,-0.18884172971642982,0.0
Cytotoxic T-cells,TFH,-0.30741914835248574,2.6326986573694124e-21,-0.1965204732320436,0.0
Cytotoxic T-cells,Treg,0.422684183253574,0.0,0.03320620860757417,0.0
Cytotoxic T-cells,myeloid-derived cells,-0.0506141981894108,7.838433490394357e-180,-0.018217793360808678,0.0
DZ B-cells,B-cells,-0.13982625209925761,0.0,-0.07032496108538155,0.0
DZ B-cells,Cytotoxic T-cells,-0.018579410795285106,0.0,-0.019514960508868688,0.0
DZ B-cells,DZ B-cells,1.0,0.0,1.0,0.0
DZ B-cells,FDC,0.13848822061431731,0.0,0.258873493860138,0.0
DZ B-cells,Helper T-cells,-0.015793480137491565,0.0,-0.018563714280223687,0.0
DZ B-cells,LZ B-cells,-0.053839090923359444,0.0,-0.25303149681957066,0.0
DZ B-cells,Other,0.01785349928586003,1.5046591991420054e-23,-0.0012971539481522762,2.2487645699651187e-13
DZ B-cells,Stroma,-0.11127634862586913,0.0,-0.06813421219516883,0.0
DZ B-cells,TFH,-0.08130993674760253,0.0,-0.1695812594884409,0.0
DZ B-cells,Treg,-0.02238554141227065,0.0,-0.003295731883083191,7.943827314836887e-170
DZ B-cells,myeloid-derived cells,-0.02902861268500934,6.031754232834562e-144,-0.029113899725195534,0.0
FDC,B-cells,-0.021128958678479675,0.0,-0.01705437122422054,0.0
FDC,Cytotoxic T-cells,-0.004802036063290835,0.0,-0.01152003333101868,0.0
FDC,DZ B-cells,0.42370765204446686,0.0,0.1870842302617874,0.0
FDC,FDC,1.0,0.0,1.0,0.0
FDC,Helper T-cells,-0.003553506686835218,0.0,-0.00419415318380668,0.0
FDC,LZ B-cells,-0.150399769502269,0.0,-0.18093882369279912,0.0
FDC,Other,-0.002413023121803645,4.09144934579029e-302,-0.00038191792236650236,9.506597922519221e-63
FDC,Stroma,-0.017251314557372326,0.0,-0.020311089507673078,0.0
FDC,TFH,0.425616461379625,0.0,0.5579612526907854,0.0
FDC,Treg,-0.0017047228024682467,0.0,-0.0009304909381292966,0.0
FDC,myeloid-derived cells,-0.004802036063290835,0.0,-0.009471564474689258,0.0
Helper T-cells,B-cells,-0.04126823302297976,0.0,-0.02939773502973082,0.0
Helper T-cells,Cytotoxic T-cells,0.19668583144982882,0.0,0.1498486730103379,0.0
Helper T-cells,DZ B-cells,-0.012065420056475158,0.0,-0.003972333478629175,0.0
Helper T-cells,FDC,-0.0008872954873830179,0.0,-0.001241868230378893,0.0
Helper T-cells,Helper T-cells,1.0,0.0,1.0,0.0
Helper T-cells,LZ B-cells,-0.002931672252231728,0.0,-0.0037502775698859286,0.0
Helper T-cells,Other,-0.0012979694122866444,0.0,-0.0003269156434275563,5.882241036168439e-168
Helper T-cells,Stroma,-0.11487179179731294,0.0,-0.12903709978534594,0.0
Helper T-cells,TFH,-0.10380457916414368,0.0,-0.09317095837685355,0.0
Helper T-cells,Treg,-0.07434097326722583,0.0,0.009978123380842332,0.010700909860392904
Helper T-cells,myeloid-derived cells,-0.02658888842259246,2.625317092347897e-256,-0.01223363571316956,0.0
LZ B-cells,B-cells,-0.05783200410084004,0.0,-0.13058847750104108,8.913430272465436e-275
LZ B-cells,Cytotoxic T-cells,-0.0063544548145616775,0.0,-0.007884110592782179,0.0
LZ B-cells,DZ B-cells,-0.03168222184251482,0.0,-0.06160835856092756,0.0
LZ B-cells,FDC,-0.02892754720814996,0.0,-0.06096031742318256,0.0
LZ B-cells,Helper T-cells,-0.0022582328519772242,0.0,-0.004267245614609701,0.0
LZ B-cells,LZ B-cells,1.0,0.0,1.0,0.0
LZ B-cells,Other,-0.0021774167478676096,0.0,-0.0005287267044417721,4.337795401060525e-102
LZ B-cells,Stroma,-0.020102428639380072,0.0,-0.0198553254008731,0.0
LZ B-cells,TFH,0.12303905495956886,0.5420816688359184,-0.16659336237431044,0.0
LZ B-cells,Treg,-0.01448455488798888,0.0,-0.001539390139480912,0.0
LZ B-cells,myeloid-derived cells,-0.004234763855343792,0.0,-0.005881499712241661,0.0
Other,B-cells,1.0,0.0,1.0,0.0
Other,Cytotoxic T-cells,-0.04913981560688147,3.833978570712649e-307,-0.045104510451045104,5.8447827906268834e-33
Other,DZ B-cells,0.4324683965402528,2.1083120305604648e-23,-0.07425742574257425,5.161166050744839e-13
Other,FDC,-0.019104647847162818,2.8253002691299986e-306,-0.03025302530253025,2.6555254764532185e-63
Other,Helper T-cells,-0.04115578367075373,0.0,-0.08745874587458745,8.346361000213566e-158
Other,LZ B-cells,-0.08963026328295788,0.0,-0.12431243124312431,1.1627061576237443e-111
Other,Other,0.45756106833951143,0.0,0.088008800880088,0.0
Other,Stroma,0.7261667141906663,0.0,0.4471947194719472,0.00044265795389650855
Other,TFH,-0.05455755156353958,0.0,-0.14136413641364134,5.942126578573914e-72
Other,Treg,-0.036023191711814465,0.0,-0.00055005500550055,1.0629370002209795e-07
Other,myeloid-derived cells,0.3016823495865412,0.0,0.47799779977997797,0.0
Stroma,B-cells,0.29664624476236584,0.0,-0.13288507863800725,2.3163409201684154e-254
Stroma,Cytotoxic T-cells,-0.10686860424352704,5.055405620205387e-226,-0.04750777610993331,0.0
Stroma,DZ B-cells,-0.11835383870590789,0.0,-0.018288688403666507,0.0
Stroma,FDC,-0.0059971954660033725,0.0,-0.0075439872487271945,0.0
Stroma,Helper T-cells,-0.15992938584044206,0.0,-0.1618643062368786,0.0
Stroma,LZ B-cells,-0.03633373954559872,0.0,-0.021889169155537673,0.0
Stroma,Other,0.03188488055690032,0.0,0.0020968415840051996,0.0002010711224453618
Stroma,Stroma,1.0,0.0,1.0,0.0
Stroma,TFH,-0.05841109794167237,0.0,-0.042370127357979605,0.0
Stroma,Treg,-0.11625043820843697,0.0,0.0176181117593352,0.0
Stroma,myeloid-derived cells,0.06972522244294944,0.0,0.0500946544724883,1.790725113713688e-22
TFH,B-cells,-0.1433938995313656,0.0,-0.09944381541097987,0.0
TFH,Cytotoxic T-cells,-0.16583901997862366,1.464445846384539e-22,-0.07332532590733827,0.0
TFH,DZ B-cells,-0.17036915234728275,0.0,-0.06751101658608238,0.0
TFH,FDC,0.29148236454821996,0.0,0.3073627516983904,0.0
TFH,Helper T-cells,-0.28470772013483514,0.0,-0.17333909663994126,0.0
TFH,LZ B-cells,0.4380991531694483,0.5803308648093013,-0.272388916090336,0.0
TFH,Other,-0.004719230453013236,0.0,-0.0009830772997123447,9.750605053774373e-74
TFH,Stroma,-0.1150702951574447,0.0,-0.06284044311157354,0.0
TFH,TFH,1.0,0.0,1.0,0.0
TFH,Treg,-0.12464030255693495,0.0,-0.008442224126323521,1.4103148023608226e-147
TFH,myeloid-derived cells,-0.02511715859574118,0.0,-0.015465297753840503,0.0
Treg,B-cells,-0.11687744465258029,0.0,-0.35924462011418534,0.29998661596705956
Treg,Cytotoxic T-cells,0.13459056012268153,0.0,0.4741619089445176,0.0
Treg,DZ B-cells,-0.027685842125185624,0.0,-0.050212267603571954,3.518334461775162e-179
Treg,FDC,-0.0006891129854121576,0.0,-0.019616454399063097,0.0
Treg,Helper T-cells,-0.12035212702972892,0.0,0.7104377104377105,0.011173704985263959
Treg,LZ B-cells,-0.030442294066834255,0.0,-0.09632557458644415,0.0
Treg,Other,-0.0018392522638817444,0.0,-0.00014639145073927682,1.1280407517351922e-07
Treg,Stroma,-0.13517776203278625,0.0,1.0,0.0
Treg,TFH,-0.07357009055526978,0.0,-0.32308593178158396,6.917459144801145e-142
Treg,Treg,1.0,0.0,0.507099985360855,0.0
Treg,myeloid-derived cells,-0.023953955605594435,1.2213569438565067e-304,-0.0878348704435661,7.673781650762234e-10
myeloid-derived cells,B-cells,0.8289517656232596,0.0,0.4725743348982785,0.0
myeloid-derived cells,Cytotoxic T-cells,-0.1849727080316364,1.2190346421540503e-167,-0.03476134585289514,0.0
myeloid-derived cells,DZ B-cells,-0.41205302439567787,3.5143083202708457e-128,-0.05927230046948356,0.0
myeloid-derived cells,FDC,-0.022279157847833356,0.0,-0.026682316118935838,0.0
myeloid-derived cells,Helper T-cells,-0.49404032527570463,2.1779884602231054e-268,-0.11639280125195618,0.0
myeloid-derived cells,LZ B-cells,-0.10214993873231591,0.0,-0.04917840375586854,0.0
myeloid-derived cells,Other,0.17678511752255766,0.0,0.01699921752738654,0.0
myeloid-derived cells,Stroma,0.9305447254093796,0.0,0.37994913928012514,1.185584480997452e-21
myeloid-derived cells,TFH,-0.17015706806282724,0.0,-0.07908841940532081,0.0
myeloid-derived cells,Treg,-0.2749248078422636,5.408569407003927e-305,-0.011737089201877934,6.901299649394346e-11
myeloid-derived cells,myeloid-derived cells,1.0,0.0,1.0,0.0
